,index,post_nr,date,text,likes,user,date_clean,datetime,days_till_linde,path,n_people,n_women
0,8166,334,"MAY 28, 2020",Fra Aftenshowet på Rådshuspladsen til Debatten i DR-byen. Se med 😊,,pernillevermund,2020-5-28,2020-05-28,-90.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\pernillevermund\pic_334.jpeg,1,1
1,4606,49,"JUNE 5, 2020","Sommer 😊🦪🥂
#naervaer",333.0,kristianjensenmf,2020-6-5,2020-06-05,-82.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\kristianjensenmf\pic_49.jpeg,0,0
2,3172,167,"MARCH 10, 2020","Forebyg smitte
Få gode råd til at undgå smitte i hverdagen og til større arrangementer, og download infografikker.

Beskyt dig selv og andre mod smitte med disse råd
1. Vask dine hænder tit eller brug håndsprit
2. Host eller nys i dit ærme - ikke dine hænder
3. Undgå håndtryk, kindkys og kram - begræns den fysiske kontakt
4. Vær opmærksom på rengøring - både hjemme og på arbejdspladsen
5. Hvis du er ældre eller kronisk syg - hold afstand og bed andre tage hensyn
God hygiejne er den allerbedste metode til at forebygge smitte med ny coronavirus. Det gælder både for at beskytte sig selv, men i høj grad også for at beskytte andre, særligt de ældre og svækkede. Derfor opfordrer vi alle til at følge de fem gode råd. Det gælder både på arbejdspladser, men også i offentligheden, når man fx kører med offentlig transport.

Luftvejsinfektioner, som ny coronavirus, spreder sig bl.a. via håndtryk, overflader eller små dråber fra hoste og nys. Og det er det, de fem gode råd skal være med til at forhindre.
Plakaterne nedenfor kan downloades og printes, så de kan blive hængt op relevante steder, fx på skoler, i institutioner og på arbejdspladser.",40.0,fabricius.camilla,2020-3-10,2020-03-10,-169.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\fabricius.camilla\pic_167.jpeg,0,0
3,10726,181,"MARCH 31, 2020","L158 vedtaget. Håber vi gør det rigtige. Historien vil dømme os og holde os ansvarlige. Store ord. Ja, men det er også en kæmpe beslutning og beføjelse vi giver ministeren. Kl 23.45 den 31. marts 2020.",,stenknuth,2020-3-31,2020-03-31,-148.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\stenknuth\pic_181.jpeg,1,0
4,10054,61,"JULY 1, 2020","Mínir spurningar til donsku stjórnina um flaggingina við Merkinum hava fingið nógva umrøðu í donskum miðlum í dag. Seinnapartin var eg gestur í sendingini New & Co í TV2 News. Sum inngang til samrøðuna fingu tey trý fólkini í sjónvarpsstovuni pappír og hvør sína reyða og bláa tussj. Uppgávan var at tekna føroyska flaggið. Tann fyrsti teknaði íslendska flaggið. Tann næsti nakað, ið minti um tað skotska. Tann triðja teknaði fyrst eitt ókent krossmerkið - men ásannaði at tað nokk var skeivt, og skitsaði Merkið upp í síðstu løtu.

Tá mann hugsar um, at tað hevur kiksað við donsku ólavsøkuflaggingini tríggjar av fimm ferðum, so er 33% kanska ikki so heilt galið ;)",72.0,sjurdurskaale,2020-7-1,2020-07-01,-56.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\sjurdurskaale\pic_61.jpeg,1,0
5,3023,18,JANUARY 11,"Glædelig Klimandag derude 💚🔥
Har du et nytårsfortsæt ? Mit er flere lange gåture, og her fandt jeg en fin hejre som var på fiskerov, i en sø med alt for mange alger og for lidt vand.
Vores natur er presset, men ved at have sat fokus på bynaturen er arterne faktisk steget i byerne. 🌱🍂🍄 Det er super vigtigt for mig, at vide både arbejde på stærk og vild bynatur, og på at der kommer flere grønne korridorer i bredt i vores land.

🥳 FUNFact; Som kampsportsudøver🥋har jeg et helt særligt forhold til hejren, eller tranen som det hedder i kampkunsten. For den har en så svær og udfordrende positur at kampsportsudøvere verden over prøver at gøre det efter.

#crane #hejre #nature #naturephotography #forrest #martialarts #biodiversity @danmarksnatur @aarhusibilleder @aarhusdelernaturen @natur_retur @naturstyrelsen @naturungdom",64.0,fabricius.camilla,2021-1-11,2021-01-11,138.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\fabricius.camilla\pic_18.jpeg,0,0
6,7436,80,27. SEPTEMBER 2020,"Nu falmer skoven trindt om land... Også for de træer, der satte rod på et mindre prangende sted #efterår #melankoliiluften",113.0,mrmesserschmidt,2020-27.-SEPTEMBER,,,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\mrmesserschmidt\pic_80.jpeg,0,0
7,5384,88,"JULY 3, 2020",Pihl på toppen. 120 meter over Fyn. #pihl #venstre #dktrp #dkpol #odense,37.0,lorentzenkristian,2020-7-3,2020-07-03,-54.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\lorentzenkristian\pic_88.jpeg,1,0
8,6002,34,"FEBRUARY 14, 2020","I sommerhus med familien for at lade op til forårets spurt i folketinget – dansk vejr for oven med sol, lidt skyer, regn, hagl, lidt mere sol, flere skyer og ingen sne.
Meen, lad dem gerne beholde Thailand, Val-d’Isère og Oslo-båden. Bare jeg har Tom fisker og årets første stenbider!
Hvad er det de unge siger… #fiskersundtforsjælen #lykkelig ☀️👍🏻",110.0,martin.lidegaard,2020-2-14,2020-02-14,-194.0,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\martin.lidegaard\pic_34.jpeg,1,0
9,6137,128,17. AUGUST 2020,En god lille løsning i denne varme #sommer #hedebølge #gadget #propel #luft 😀,31.0,liselottblixt,2020-17.-AUGUST,,,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\liselottblixt\pic_128.jpeg,0,0
