user;navn;køn ;parti;blok;dato for indsamling;valgperiode
akimati;Aki-Matilda Høegh-Dam;f;Siumut;r;11-03-2021;2019
alexvanopslagh;Alex Vanopslagh;m;Liberal Alliance;b;11-03-2021;2019
andreas.steenberg;Andreas Steenberg;m;Radikale venstre;r;11-03-2021;2019
anehalsboe;Ane Halsboe-Jørgensen;f;Socialdemokratiet;r;11-03-2021;2019
annehonoreoestergaard;Anne Honoré Østergaard;f;Venstre;b;11-03-2021;2019
annepaulin;Anne Paulin;f;Socialdemokratiet;r;11-03-2021;2019
annesophie.radikale;Anne Sophie Callesen;f;Radikale venstre;r;11-03-2021;2019
annevalentinaberthelsen;Anne Valentina Berthelsen;f;SF;r;11-03-2021;2019
annimatthiesen;Anni Matthiesen;f;Venstre;b;11-03-2021;2019
astridcaroe;Astrid Carøe;f;SF;r;11-03-2021;2019
astridkrag;Astrid Krag;f;Socialdemokratiet;r;11-03-2021;2019
bbbrandenborg;Bjørn Brandenborg;m;Socialdemokratiet;r;11-03-2021;2019
bennyengelbrecht;Benny Engelbrecht;m;Socialdemokratiet;r;11-03-2021;2019
bertel.haarder;Bertel Haarder;m;Venstre;b;11-03-2021;2019
birgitte.vind;Birgitte Vind;f;Socialdemokratiet;r;11-03-2021;2019
birgittebergman;Birgitte Bergman;f;Konservative;b;11-03-2021;2019
bonnesenerling;Erling Bonnesen;m;Venstre;b;11-03-2021;2019
brigitte_klintskov_jerkel;Brigitte Klintskov Jerkel;f;Konservative;b;11-03-2021;2019
brittbager;Britt Bager;f;Venstre;b;11-03-2021;2019
carl_valentin;Carl Valentin;m;SF;r;11-03-2021;2019
charlottemolbaek;Charlotte Broman Mølbæk;f;SF;r;11-03-2021;2019
christian.rabjerg;Christian Rabjerg Madsen;m;Socialdemokratiet;r;11-03-2021;2019
christoffermelson;Christoffer Melson;m;Venstre;b;11-03-2021;2019
danj.klimaminister;Dan Jørgensen;m;Socialdemokratiet;r;11-03-2021;2019
denhenrikdahl;Henrik Dahl;m;Liberal Alliance;b;11-03-2021;2019
dennisflydtkjaer1;Dennis Flydtkjær;m;DF;b;11-03-2021;2019
elbaekuffe;Uffe Elbæk;m;Frie Grønne;r;11-03-2021;2019
ellentranenorby;Ellen Trane Nørby;f;Venstre;b;11-03-2021;2019
evaflyvholm_enhedslisten;Eva Flyvholm;f;Enhedslisten;r;11-03-2021;2019
evakjerhansen;Eva Kjer Hansen;f;Venstre;b;11-03-2021;2019
trine.bramsen;Trine Bramsen;f;Socialdemokratiet;r;11-03-2021;2019
ftmktm;Fatma Øktem;f;Venstre;b;11-03-2021;2019
fugledemads;Mads Fuglede;m;Venstre;b;11-03-2021;2019
hansandersenmf;Hans Andersen;m;Venstre;b;11-03-2021;2019
havorla;Orla Hav;m;Socialdemokratiet;r;11-03-2021;2019
heidibank;Heidi Bank;f;Venstre;b;11-03-2021;2019
idaauken;Ida Auken;f;Radikale venstre;r;11-03-2021;2019
j.h.thulesen.dahl;Jens Henrik W Thulesen Dahl;m;DF;b;11-03-2021;2019
jacobjensen_venstre;Jacob Jensen;m;Venstre;b;11-03-2021;2019
jacobmarkfolketinget;Jacob Mark;m;SF;r;11-03-2021;2019
jakobellemann;Jakob Ellemann-Jensen;m;Venstre;b;11-03-2021;2019
fabricius.camilla;Camilla Fabricius;f;Socialdemokratiet;r;11-03-2021;2019
jan_e_joergensen;Jan E. Jørgensen;m;Venstre;b;11-03-2021;2019
janeheitmann;Jane Heitmann;f;Venstre;b;11-03-2021;2019
jensjoel;Jens Joel;m;Socialdemokratiet;r;11-03-2021;2019
jeppebruus;Jeppe Bruus;m;Socialdemokratiet;r;11-03-2021;2019
jerohde;Jens Rohde;m;Radikale venstre;r;11-03-2021;2019
juulmona;Mona Juul;f;Konservative;b;11-03-2021;2019
karen.ellemann;Karen Ellemann;f;Venstre;b;11-03-2021;2019
karina_lorentzen_dehnhardt;Karina Lorentzen;f;SF;r;11-03-2021;2019
karinaadsbol;Karina Adsbøl;f;DF;b;11-03-2021;2019
karstenlauritzen;Karsten Lauritzen;m;Venstre;b;11-03-2021;2019
kaspersandkjaer;Kasper Sand Kjær;m;Socialdemokratiet;r;11-03-2021;2019
katarinaammitzboell;Katarina Ammitzboell;f;Konservative;b;11-03-2021;2019
kathrineolldag;Kathrine Olldag;f;Radikale venstre;r;11-03-2021;2019
katrinerobsoe;Katrine Robsøe;f;Radikale venstre;r;11-03-2021;2019
khegaard;Kristian Hegaard;m;Radikale venstre;r;11-03-2021;2019
khoenge;Karsten Hønge;m;SF;r;11-03-2021;2019
kirstennormann;Kirsten Normann Andersen;f;SF;r;11-03-2021;2019
kommune_rune;Rune Lund;m;Enhedslisten;r;11-03-2021;2019
krarupmarie;Marie Krarup;f;DF;b;11-03-2021;2019
kristianjensenmf;Kristian Jensen;m;Venstre;b;11-03-2021;2019
kristianthulesendahl;Kristian Thulesen Dahl;m;DF;b;11-03-2021;2019
kaaredybvad;Kaare Dybvad;m;Socialdemokratiet;r;11-03-2021;2019
lars_aslan;Lars Aslan Rasmussen;m;Socialdemokratiet;r;11-03-2021;2019
lars_chr_lilleholt;Lars Chr. Lilleholt;m;Venstre;b;11-03-2021;2019
larsbojemathiesen;Lars Boje Mathiesen;m;Nye Borgerlige;b;11-03-2021;2019
larsloekke;Lars Løkke Rasmussen;m;Venstre;b;11-03-2021;2019
leawermelin;Lea Wermelin;f;Socialdemokratiet;r;11-03-2021;2019
lind_annette;Annette Lind;f;Socialdemokratiet;r;11-03-2021;2019
lisbethbp;Lisbeth Bech-Nielsen;f;SF;r;11-03-2021;2019
lise_bech;Lise Bech;f;DF;b;11-03-2021;2019
lorentzenkristian;Kristian Lorentzen;m;Venstre;b;11-03-2021;2019
louise_elholm;Louise Schack Elholm;f;Venstre;b;11-03-2021;2019
magnusheunicke;Magnus Heunicke;m;Socialdemokratiet;r;11-03-2021;2019
mai_villadsen;Mai Villadsen;f;Enhedslisten;r;11-03-2021;2019
maimercado_dk;Mai Mercado;f;Konservative;b;11-03-2021;2019
maltelarsen_randers;Malte Larsen;m;Socialdemokratiet;r;11-03-2021;2019
