,face,gender,handcode_gender,paths
0,"tensor([[[ 72,  72,  72],
         [ 72,  72,  72],
         [ 72,  72,  72],
         ...,
         [239, 239, 239],
         [237, 237, 237],
         [234, 234, 234]],

        [[ 72,  72,  72],
         [ 72,  72,  72],
         [ 72,  72,  72],
         ...,
         [236, 236, 236],
         [233, 233, 233],
         [232, 232, 232]],

        [[ 73,  73,  73],
         [ 72,  72,  72],
         [ 73,  73,  73],
         ...,
         [232, 232, 232],
         [230, 230, 230],
         [229, 229, 229]],

        ...,

        [[202, 202, 202],
         [202, 202, 202],
         [203, 203, 203],
         ...,
         [157, 157, 157],
         [152, 152, 152],
         [153, 153, 153]],

        [[193, 193, 193],
         [199, 199, 199],
         [201, 201, 201],
         ...,
         [157, 157, 157],
         [154, 154, 154],
         [154, 154, 154]],

        [[185, 185, 185],
         [193, 193, 193],
         [198, 198, 198],
         ...,
         [159, 159, 159],
         [154, 154, 154],
         [154, 154, 154]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\annepaulin\pic_5.jpeg
1,"tensor([[[119, 126,  84],
         [ 95, 103,  66],
         [100, 109,  78],
         ...,
         [151, 162, 148],
         [157, 168, 153],
         [156, 167, 152]],

        [[103, 110,  69],
         [109, 118,  83],
         [ 89, 100,  71],
         ...,
         [136, 147, 134],
         [152, 163, 149],
         [143, 154, 140]],

        [[101, 109,  70],
         [ 88,  98,  65],
         [ 95, 108,  83],
         ...,
         [131, 141, 129],
         [151, 162, 148],
         [140, 151, 137]],

        ...,

        [[206, 209, 209],
         [134, 139, 137],
         [ 71,  76,  75],
         ...,
         [124, 123, 114],
         [ 59,  54,  49],
         [ 43,  36,  32]],

        [[222, 227, 219],
         [ 81,  86,  77],
         [109, 114, 108],
         ...,
         [160, 159, 154],
         [ 53,  49,  45],
         [ 33,  26,  23]],

        [[ 81,  78,  75],
         [103, 100,  95],
         [ 60,  54,  49],
         ...,
         [145, 144, 139],
         [ 22,  18,  17],
         [127, 121, 118]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\lind_annette\pic_2.jpeg
2,"tensor([[[ 55,  62,  58],
         [111, 117, 113],
         [137, 144, 140],
         ...,
         [129, 145, 161],
         [129, 145, 161],
         [129, 145, 161]],

        [[ 49,  55,  50],
         [ 95, 100,  96],
         [117, 122, 118],
         ...,
         [129, 145, 161],
         [129, 145, 161],
         [129, 145, 161]],

        [[ 36,  41,  37],
         [ 68,  73,  68],
         [ 85,  90,  84],
         ...,
         [129, 145, 161],
         [129, 145, 161],
         [129, 145, 161]],

        ...,

        [[103, 122, 132],
         [106, 122, 130],
         [115, 126, 133],
         ...,
         [137, 153, 169],
         [137, 153, 169],
         [137, 153, 169]],

        [[ 97, 114, 125],
         [103, 118, 126],
         [112, 123, 130],
         ...,
         [136, 153, 169],
         [137, 153, 169],
         [137, 153, 169]],

        [[ 94, 109, 120],
         [101, 114, 123],
         [112, 121, 128],
         ...,
         [136, 152, 168],
         [136, 153, 169],
         [137, 154, 170]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\ullatornaes\pic_58.jpeg
3,"tensor([[[132, 115,  99],
         [132, 115,  98],
         [133, 114,  97],
         ...,
         [ 39,  44,  40],
         [ 39,  44,  40],
         [ 39,  44,  40]],

        [[136, 116, 101],
         [136, 115, 100],
         [136, 115,  99],
         ...,
         [ 39,  44,  40],
         [ 39,  44,  40],
         [ 39,  44,  40]],

        [[139, 117, 103],
         [138, 116, 101],
         [138, 114,  99],
         ...,
         [ 39,  44,  40],
         [ 39,  44,  40],
         [ 39,  44,  40]],

        ...,

        [[ 37,  21,  11],
         [ 33,  16,  10],
         [ 31,  13,   9],
         ...,
         [219, 165, 118],
         [220, 166, 119],
         [221, 166, 119]],

        [[ 64,  47,  32],
         [ 63,  44,  31],
         [ 63,  43,  31],
         ...,
         [222, 168, 121],
         [222, 168, 121],
         [223, 168, 121]],

        [[ 87,  69,  48],
         [ 93,  72,  52],
         [ 98,  76,  55],
         ...,
         [225, 171, 125],
         [224, 170, 124],
         [223, 169, 123]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\anehalsboe\pic_23.jpeg
4,"tensor([[[249, 250, 245],
         [253, 254, 249],
         [250, 250, 248],
         ...,
         [138,  88,  65],
         [127,  77,  53],
         [129,  70,  50]],

        [[253, 254, 249],
         [253, 254, 248],
         [252, 252, 247],
         ...,
         [138,  86,  65],
         [130,  78,  56],
         [122,  75,  57]],

        [[253, 253, 245],
         [238, 238, 231],
         [241, 241, 234],
         ...,
         [127,  76,  55],
         [127,  76,  54],
         [116,  69,  51]],

        ...,

        [[183, 191, 193],
         [153, 161, 163],
         [142, 150, 152],
         ...,
         [ 61,  57,  45],
         [ 52,  52,  40],
         [ 49,  49,  37]],

        [[172, 180, 182],
         [188, 196, 198],
         [202, 210, 212],
         ...,
         [ 69,  67,  55],
         [ 56,  57,  44],
         [ 48,  49,  37]],

        [[175, 182, 186],
         [184, 191, 197],
         [185, 193, 197],
         ...,
         [ 83,  84,  73],
         [ 69,  71,  59],
         [ 53,  56,  44]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\rasmus_jarlov\pic_19.jpeg
5,"tensor([[[ 58,  48,  47],
         [164, 159, 165],
         [248, 244, 246],
         ...,
         [ 18,  21,  27],
         [ 18,  23,  29],
         [ 19,  24,  33]],

        [[ 73,  60,  60],
         [150, 154, 149],
         [249, 254, 242],
         ...,
         [ 20,  23,  29],
         [ 18,  23,  29],
         [ 18,  23,  31]],

        [[ 62,  45,  39],
         [ 64,  68,  43],
         [118, 121,  84],
         ...,
         [ 18,  21,  28],
         [ 17,  22,  28],
         [ 19,  24,  32]],

        ...,

        [[180, 125,  81],
         [164, 110,  66],
         [150,  96,  65],
         ...,
         [ 92,  87,  65],
         [ 43,  40,  26],
         [ 40,  35,  30]],

        [[184, 126,  83],
         [191, 134,  91],
         [188, 130,  96],
         ...,
         [ 48,  45,  30],
         [ 30,  26,  16],
         [ 29,  26,  22]],

        [[186, 124,  81],
         [186, 125,  81],
         [193, 126,  91],
         ...,
         [ 27,  23,  16],
         [ 29,  26,  20],
         [ 41,  40,  36]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\mette.abildgaard\pic_4.jpeg
6,"tensor([[[183, 168, 153],
         [211, 194, 169],
         [212, 195, 169],
         ...,
         [111, 131, 164],
         [104, 122, 151],
         [119, 136, 153]],

        [[180, 168, 143],
         [210, 196, 168],
         [210, 196, 161],
         ...,
         [128, 148, 175],
         [128, 146, 168],
         [116, 131, 145]],

        [[205, 181, 152],
         [209, 194, 165],
         [215, 199, 164],
         ...,
         [ 54,  86, 122],
         [ 65,  92, 120],
         [124, 138, 153]],

        ...,

        [[102, 120, 186],
         [ 93, 111, 177],
         [ 92, 111, 177],
         ...,
         [ 74,  64,  84],
         [ 66,  52,  67],
         [ 62,  48,  58]],

        [[ 91, 110, 176],
         [ 92, 111, 177],
         [ 92, 111, 177],
         ...,
         [ 57,  54,  83],
         [ 59,  47,  63],
         [ 73,  55,  59]],

        [[ 86, 105, 171],
         [ 89, 108, 174],
         [ 90, 111, 176],
         ...,
         [120, 126, 166],
         [111, 110, 138],
         [ 53,  46,  60]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\elbaekuffe\pic_39.jpeg
7,"tensor([[[142, 134, 128],
         [139, 132, 126],
         [141, 134, 128],
         ...,
         [120, 116, 107],
         [120, 116, 107],
         [121, 117, 108]],

        [[143, 135, 129],
         [143, 135, 129],
         [146, 139, 133],
         ...,
         [120, 116, 108],
         [120, 116, 108],
         [121, 117, 108]],

        [[142, 134, 129],
         [143, 135, 130],
         [146, 139, 134],
         ...,
         [121, 116, 109],
         [121, 116, 109],
         [121, 117, 108]],

        ...,

        [[ 75, 126, 227],
         [ 71, 122, 224],
         [ 67, 119, 219],
         ...,
         [ 40, 110, 194],
         [ 41, 110, 193],
         [ 42, 111, 195]],

        [[ 66, 126, 233],
         [ 58, 118, 225],
         [ 52, 113, 218],
         ...,
         [ 38, 112, 191],
         [ 39, 112, 191],
         [ 40, 113, 191]],

        [[ 56, 121, 221],
         [ 46, 112, 212],
         [ 35, 102, 201],
         ...,
         [ 37, 115, 189],
         [ 38, 115, 189],
         [ 38, 115, 190]]], dtype=torch.uint8)",Female,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\dennisflydtkjaer1\pic_22.jpeg
8,"tensor([[[230, 229, 225],
         [240, 240, 237],
         [229, 229, 226],
         ...,
         [111, 102,  84],
         [101,  93,  74],
         [112, 104,  85]],

        [[241, 243, 239],
         [244, 246, 245],
         [235, 236, 239],
         ...,
         [120, 111,  92],
         [115, 107,  88],
         [144, 135, 116]],

        [[242, 244, 241],
         [244, 245, 246],
         [253, 253, 254],
         ...,
         [104,  93,  75],
         [122, 111,  93],
         [133, 122, 104]],

        ...,

        [[161, 115,  89],
         [147, 100,  74],
         [136,  88,  64],
         ...,
         [162, 119,  82],
         [183, 144, 107],
         [125,  87,  50]],

        [[127,  83,  57],
         [133,  86,  61],
         [124,  75,  52],
         ...,
         [136,  93,  58],
         [217, 174, 139],
         [170, 132,  95]],

        [[126,  82,  57],
         [118,  71,  47],
         [139,  90,  67],
         ...,
         [167, 124,  89],
         [138,  95,  60],
         [208, 166, 130]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\charlottemolbaek\pic_105.jpeg
9,"tensor([[[78, 73, 80],
         [78, 72, 79],
         [79, 72, 79],
         ...,
         [81, 72, 79],
         [79, 72, 79],
         [79, 72, 79]],

        [[76, 70, 79],
         [76, 70, 79],
         [76, 71, 79],
         ...,
         [82, 72, 80],
         [81, 73, 80],
         [80, 73, 80]],

        [[75, 69, 79],
         [75, 69, 79],
         [75, 69, 79],
         ...,
         [83, 73, 80],
         [83, 73, 81],
         [81, 74, 81]],

        ...,

        [[81, 71, 79],
         [82, 72, 80],
         [83, 73, 81],
         ...,
         [63, 62, 68],
         [63, 62, 68],
         [63, 62, 68]],

        [[81, 74, 81],
         [82, 74, 82],
         [83, 75, 82],
         ...,
         [63, 62, 68],
         [63, 62, 68],
         [65, 64, 70]],

        [[86, 79, 86],
         [85, 78, 85],
         [86, 79, 86],
         ...,
         [62, 61, 67],
         [62, 61, 67],
         [64, 63, 69]]], dtype=torch.uint8)",Male,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\idaauken\pic_17.jpeg
